They do not!	They do to!
It gets worse -- you still have your freshman yearbook?	That ' s completely adorable!
That ' s completely adorable!	That's where I was last year.  She'd never lived alone -- my grandfather died -- I stayed with her.  I wasn't in jail, I don't know Marilyn Manson, and I've never slept with a Spice Girl.  I spent a year sitting next to my grandma on the couch watching Wheel of Fortune.  End of story.
That's where I was last year.  She'd never lived alone -- my grandfather died -- I stayed with her.  I wasn't in jail, I don't know Marilyn Manson, and I've never slept with a Spice Girl.  I spent a year sitting next to my grandma on the couch watching Wheel of Fortune.  End of story.	What?
What?	My grandmother's .
My grandmother's .	Look, I'm  -- sorry -- that I questioned your motives.  I was wrong.
Look, I'm  -- sorry -- that I questioned your motives.  I was wrong.	Oh huh
Oh huh	It's just something I had.  You know
It's just something I had.  You know	It's Scurvy's.  His date got convicted. Where'd you get the dress?
It's Scurvy's.  His date got convicted. Where'd you get the dress?	How'd you get a tux at the last minute?
How'd you get a tux at the last minute?	Nothing!  There's nothing in it for me. Just the pleasure of your company.
Nothing!  There's nothing in it for me. Just the pleasure of your company.	Answer the question, Patrick
Answer the question, Patrick	You need therapy.  Has anyone ever told you that?
You need therapy.  Has anyone ever told you that?	You tell me.
You tell me.	So I have to have a motive to be with you?
So I have to have a motive to be with you?	Create a little drama?  Start a new rumor?  What?
Create a little drama?  Start a new rumor?  What?	Because I don't want to. It's a stupid tradition.
Because I don't want to. It's a stupid tradition.	Why not?
Why not?	No, I won't go with you
No, I won't go with you	No what?
No what?	No.
No.	You know what I mean
You know what I mean	Is that a request or a command?
Is that a request or a command?	Go to the prom with me
Go to the prom with me	You're amazingly self-assured. Has anyone ever told you that?
You're amazingly self-assured. Has anyone ever told you that?	No one else knows
No one else knows	What?
What?	You're sweet.  And sexy.  And completely hot for me.
You're sweet.  And sexy.  And completely hot for me.	No -- something real.  Something no one else knows.
No -- something real.  Something no one else knows.	I hate peas.
I hate peas.	Tell me something true.
Tell me something true.	I know the porn career's a lie.
I know the porn career's a lie.	Hearsay.
Hearsay.	The duck?
The duck?	Fallacy.
Fallacy.	State trooper?
State trooper?	For. . . ?
For. . . ?	You up for it?
You up for it?	You never disappointed me.
You never disappointed me.	How?
How?	Then you screwed up
Then you screwed up	Something like that
Something like that	So if you disappoint them from the start, you're covered?
So if you disappoint them from the start, you're covered?	I don't like to do what people expect. Then they expect it all the time and they get disappointed when you change.
I don't like to do what people expect. Then they expect it all the time and they get disappointed when you change.	Yes
Yes	Acting the way we do.
Acting the way we do.	So what's your excuse?
So what's your excuse?	Yeah, well, don't let it get out
Yeah, well, don't let it get out	A soft side? Who knew?
A soft side? Who knew?	I dazzled him with my wit
I dazzled him with my wit	So how'd you get Chapin to look the other way?
So how'd you get Chapin to look the other way?	Good call.
Good call.	I figured it had to be something ridiculous to win your respect.  And piss you off.
I figured it had to be something ridiculous to win your respect.  And piss you off.	The Partridge Family?
The Partridge Family?	Maybe.
Maybe.	You want me to climb up and show you how to get down?
You want me to climb up and show you how to get down?	Forget it.  I'm stayin'.
Forget it.  I'm stayin'.	Put your right foot there --
Put your right foot there --	Try lookin' at it from this angle
Try lookin' at it from this angle	C'mon.  It's not that bad
C'mon.  It's not that bad	I guess I never told you I'm afraid of heights.
I guess I never told you I'm afraid of heights.	Look up, sunshine
Look up, sunshine	He left!  I sprung the dickhead and he cruised on me.
He left!  I sprung the dickhead and he cruised on me.	Other than my upchuck reflex? Nothing.
Other than my upchuck reflex? Nothing.	So what did I have an effect on ?
So what did I have an effect on ?	Don't for one minute think that you had any effect whatsoever on my panties.
Don't for one minute think that you had any effect whatsoever on my panties.	Unwelcome?  I guess someone still has her panties in a twist.
Unwelcome?  I guess someone still has her panties in a twist.	Unwelcome.
Unwelcome.	Wholesome.
Wholesome.	Pleasant?
Pleasant?	You 're so --
You 're so --	I heard there was a poetry reading.
I heard there was a poetry reading.	What are you doing here?
What are you doing here?	Excuse me, have you seen The Feminine Mystique?  I lost my copy.
Excuse me, have you seen The Feminine Mystique?  I lost my copy.	No offense, but you're sister is without.  I know everyone likes her and all, but ...
No offense, but you're sister is without.  I know everyone likes her and all, but ...	BIANCA
BIANCA	Who?
Who?	He just wants me to be someone I'm not.
He just wants me to be someone I'm not.	So what ' s up with your dad?  He a pain in the ass?
So what ' s up with your dad?  He a pain in the ass?	I'm gettin' there
I'm gettin' there	Oh, so now you think you know me?
Oh, so now you think you know me?	You don't strike me as the type that would ask permission.
You don't strike me as the type that would ask permission.	My father wouldn't approve of that that
My father wouldn't approve of that that	Start a band?
Start a band?	This.
This.	Do what?
Do what?	I should do this.
I should do this.	Why'd you lie?
Why'd you lie?	Then why'd you ask?
Then why'd you ask?	No, you weren't
No, you weren't	Maybe.
Maybe.	Were you in jail?
Were you in jail?	Busy
Busy	When you were gone last year -- where were you?
When you were gone last year -- where were you?	But it's Gigglepuss - I know you like them.  I saw you there.
But it's Gigglepuss - I know you like them.  I saw you there.	And I'm in control of it.
And I'm in control of it.	What?
What?	Kat! Wake up!
Kat! Wake up!	You know what they say
You know what they say	I thought you were above all that
I thought you were above all that	Hey man. . .  You don ' t think I can be "cool"?  You don't think I can be "laid back" like everyone else?
Hey man. . .  You don ' t think I can be "cool"?  You don't think I can be "laid back" like everyone else?	I know.  It'd have to be a pretty big deal to get you to mainline tequila. You don't seem like the type.
I know.  It'd have to be a pretty big deal to get you to mainline tequila. You don't seem like the type.	I hate him.
I hate him.	Dorsey.
Dorsey.	Who?
Who?	Why'd you let him get to you?
Why'd you let him get to you?	Just let me sit down.
Just let me sit down.	See that?  Who needs affection when I've got blind hatred?
See that?  Who needs affection when I've got blind hatred?	Like you could find one
Like you could find one	Because then I'd have to start taking out girls who like me.
Because then I'd have to start taking out girls who like me.	Why?
Why?	Sure, I do
Sure, I do	You don't care if I die
You don't care if I die	I told you
I told you	Why 're you doing this?
Why 're you doing this?	Leave it to you to use big words when you're shitfaced.
Leave it to you to use big words when you're shitfaced.	This is so patronizing.
This is so patronizing.	What if you have a concussion? My dog went to sleep with a concussion and woke up a vegetable. Not that I could tell the difference...
What if you have a concussion? My dog went to sleep with a concussion and woke up a vegetable. Not that I could tell the difference...	I know, just let me sleep
